job_title,mod_ind_index
"Nhân Viên Bổ Kỹ Thuật 2D, Bổ File Chạy Máy CNC",25
Chuyên Viên Media Quay Dựng Video,25
3D Designer (Events),25
Diễn Hoạt 2D,25
"Giao Dịch Viên - Móng Cái, Thuỷ Nguyên, Hải Dương, Lạng Sơn, Hưng Yên, Thanh Thuỷ, Đoan Hùng, Phú Thọ",25
Videographer,25
Nhân Viên Retouch (Chỉnh Sửa Hình Ảnh Sản Phẩm),25
Content Full-Time,25
Tổ Trưởng Ép Nhựa,25
Phó Phòng Bảo Lãnh Viện Phí,25
Acting Restaurant Manager Ở Pizza 4P'S Hà Nội,25
Nhân Viên Media,25
Nhân Viên Content Social (Facebook),25
Nhân Viên Thu Ngân Siêu Thị,25
Chuyên Viên Thiết Kế (Thiết Kế Mảng Sự Kiện - Tiệc Cưới),25
Nhân Viên Media,25
"Sale Admin Tại Hà Đông, Hà Nội [9-12 Triệu Đồng]",25
Nhân Viên Facebook Ads,25
Ga Senior Staff,25
Nhân Viên Thư Viện - Trường Đại Học Yersin Đà Lạt,25
Nhân Viên Admin Event,25
Assistant Manager,25
Chuyên Viên Tuyển Dụng - Thu Nhập 10 - 12 Triệu (Hà Nội),25
Chuyên Viên Ie,25
Nhân Viên Bảo Dưỡng Xe Golf - Hà Nội,25
Nhân Viên Lái Xe Cho Ban Giám Đốc,25
Lễ Tân (10 Triệu + Phụ Cấp + % Doanh Thu),25
Nhân Viên Xử Lí Đơn Hàng - Vsip 1 Bình Dương,25
"Nhân Viên Hậu Cần - Phạm Văn Đồng, Hà Nội",25
Assistant To Merchandising,25
Nhân Viên Bảo An,25
"Chuyên Viên Ra Mẫu, Nhảy Size, Giác Sơ Đồ",25
Leader Content (15 - 25 Triệu),25
Nhân Viên Giác Sơ Đồ,25
Media Leader,25
Nhân Viên Stylist,25
Nhân Viên Tiktok Content Creator,25
Nhân Viên Gsd,25
Chuyên Viên Quay Dựng Video - Thu Nhập 15 Triệu,25
Thực Tập Sinh Sáng Tạo Nội Dung Video,25
Cố Vấn Dịch Vụ Có Kinh Nghiệm (Q12),25
Thực Tập Sinh Dựng Video,25
Chuyên Viên Tuyển Dụng Và Truyền Thông Nội Bộ - Đà Nẵng,25
Graphics Designer (HCM),25
Nhân Viên Admin Hỗ Trợ Bộ Phận Thu Hồi Nợ Làm Việc Tại Hồ Chí Minh,25
Nhân Viên Tiktok Content,25
Nhân Viên Mua Hàng Quốc Tế,25
Nhân Viên Nhập Liệu,25
Nhân Viên Kỹ Thuật,25
Chuyên Viên Cho Thuê Mặt Bằng Tại Trung Tâm Thương Mại,25
Thực Tập Sinh Lễ Tân,25
Assistant To CEO,25
Lễ Tân Phòng Khám - Đi Làm Ngay,25
Admin Trung Tâm Bảo Hành (5 Tháng) - Hồ Chí Minh,25
Nhân Viên Tổng Vụ,25
Assistant To Management,25
Kỹ Thuật Chăn Nuôi (Không Yêu Cầu Kinh Nghiệm),25
Chuyên Viên Học Liệu,25
Chuyên Viên Phân Tích Nghiệp Vụ,25
Chuyên Viên Kiểm Tra Trình Độ Tiếng Anh Đầu Vào Part-Time ( Tester ),25
Nhân Viên Âm Thanh Làm Việc Tại Quận 7,25
Chuyên Viên Sáng Tạo Sản Phẩm Âm Nhạc,25
Admin - Bến Lức Long An,25
"Nhân Viên Thu Mua - Tại Bình Tân, HCM",25
Project Office And HR,25
Chuyên Viên Mua Hàng Năng Lượng - Lương Từ 17 - 20 Triệu,25
Admin Vận Hành/Quản Lí Lớp Học,25
Receptionist Cum Administrative Officer,25
Nhân Viên Sale Admin,25
Thực Tập Sinh Hành Chánh Full-Time,25
Nhân Viên Lễ Tân (Ca Sáng) Thời Gian 7H00 -15H00 - Nhận Việc Ngay,25
Administrator,25
Nhân Viên Tính Định Mức Ngành May,25
Lái Xe Giám Đốc,25
Quản Sinh Tại Trung Tâm Đào Đào Xuất Khấu Lao Động,25
Nhân Viên PR - Lạng Sơn,25
Chuyên Viên Pháp Chế Doanh Nghiệp,25
Secrectary Cum Administration,25
Nhân Viên Kế Hoạch Tổng Hợp Thu Nhập Từ 10 Triệu,25
Nhân Viên Thu Hồi Công Nợ,25
Chuyên Viên Pháp Chế Doanh Nghiệp,25
Nhân Viên Phát Triển Thị Trường - Nhân Viên Tiếng Trung,25
Designer Pod,25
Trưởng Phòng Mẫu (25-30 Triệu),25
Photophone Full-Time/ Part-Time,25
Nhân Viên May Mẫu (Phòng Phát Triển Mẫu),25
Fob Garment Merchandiser (Merchandiser/ Purchasing /Production),25
Thực Tập Sinh Năm Cuối - C/C++/Embedded (Partime - Có Hỗ Trợ Lương),25
Thực Tập Sinh SEO (Fulltime/Parttime Offline),25
Nhân Viên May Mẫu,25
Nhân Viên Thu Cước Dịch Vụ Internet Fpt Vĩnh Long,25
Account Leader,25
Tổ Trưởng Ngành Gỗ,25
Nhân Viên Chỉnh Sửa Hình Ảnh,25
Nhân Viên Mua Hàng Tiếng Trung,25
Kỹ Sư Kỹ Thuật,25
Nhân Viên Mua Hàng (Tiếng Trung Và Tiếng Anh Cơ Bản),25
Nhân Viên Content Tiktok (Lương 7 - 12 Triệu/Tháng),25
E-Commerce Operations Leader (Fulfillment Leader) Tại Cửa Hàng Long Biên,25
Photographer Cum Designer Làm Việc Tại HCM,25
Nhân Viên Cung Ứng Nguyên Liệu,25
Nhân Viên Kiểm Kê (Hà Nội) - Đi Làm Ngay,25
Merchandiser,25
Nhân Viên Kỹ Thuật Phòng Máy,25
Nhân Viên Kỹ Thuật Tại Tứ Hạ,25
Nhân Viên Admin,25
